phone_owns,internet_use,wealth_quintile,education,urban_rural,maternal_age
1,0,1,Primary,Rural,32
1,0,1,No education,Rural,38
0,0,1,Primary,Rural,15
0,0,2,No education,Rural,39
0,0,2,Primary,Rural,19
0,0,2,Primary,Rural,15
1,0,1,Primary,Rural,30
1,1,4,Secondary,Rural,18
1,0,1,Secondary,Rural,21
1,0,1,No education,Rural,41
1,0,1,Primary,Rural,30
1,0,2,Secondary,Rural,25
0,0,1,Secondary,Rural,17
1,0,2,Primary,Rural,30
1,0,1,No education,Rural,30
1,0,1,Primary,Rural,43
0,0,1,Secondary,Rural,19
1,0,1,Primary,Rural,37
1,0,2,Secondary,Rural,38
1,0,3,Primary,Rural,30
1,1,3,Primary,Rural,30
1,0,3,Primary,Rural,36
1,0,1,No education,Rural,45
0,0,1,No education,Rural,25
1,0,1,Primary,Rural,21
1,0,2,Secondary,Rural,39
0,0,1,Primary,Rural,27
1,0,2,Primary,Rural,49
1,0,1,No education,Rural,43
0,0,1,No education,Rural,29
0,0,1,No education,Rural,35
0,0,1,Primary,Rural,31
0,0,1,No education,Rural,34
0,0,1,No education,Rural,27
1,0,1,Primary,Rural,29
0,0,1,No education,Rural,34
0,0,1,Primary,Rural,23
1,1,2,No education,Rural,25
0,0,1,No education,Rural,27
0,0,1,Primary,Rural,37
1,0,1,No education,Rural,32
0,0,1,Primary,Rural,18
0,0,1,Primary,Rural,22
0,0,1,Primary,Rural,15
0,0,1,No education,Rural,34
0,0,1,Primary,Rural,33
1,1,1,Primary,Rural,28
1,0,2,Primary,Rural,43
0,0,1,No education,Rural,30
0,0,2,No education,Rural,20
1,0,1,Primary,Rural,34
1,0,2,Primary,Rural,26
0,0,2,No education,Rural,27
1,0,3,No education,Rural,29
1,0,3,Primary,Rural,27
0,0,3,Primary,Rural,21
1,0,1,Primary,Rural,21
1,0,1,No education,Rural,28
1,0,1,Primary,Rural,18
1,0,3,Secondary,Rural,28
0,0,1,Primary,Rural,16
1,0,2,Primary,Rural,29
0,0,1,Primary,Rural,19
0,0,1,Primary,Rural,15
1,0,1,No education,Rural,47
